id,category,name,weight,price,photo,description
1,"БУРГЕРИ","МЕНЮ БУРГЕР З РВАНОЮ СВИНИНОЮ ТА КАРАМЕЛІЗОВАНИМ БЕКОНОМ🌶","300/60/30г","240","","рвана свинина у соусі теріякі, солодкий чилі та шрірача, соус BBQ, бекон, сир чедер, айсберг, томат, солоний огірок, карамелізована цибуля/картопля фрі/кетчуп/кока-кола"
2,"БУРГЕРИ","БУРГЕР З РВАНОЮ СВИНИНОЮ ТА КАРАМЕЛІЗОВАНИМ БЕКОНОМ🌶","300г","185","","рвана свинина у соусі теріякі, солодкий чилі та шрірача, соус BBQ, бекон, сир чедер, айсберг, томат, солоний огірок, карамелізована цибуля"
3,"БУРГЕРИ","МЕНЮ ЧІКЕН-БУРГЕР З ХРУСТКОЮ КОТЛЕТОЮ","300/60/30г","235","","хрустка куряча котлета в паніровці, соус «Айолі-Шрірача», сир чедер, айсберг, томат, солоний огірок, цибуля синя/картопля фрі/соус «Sweet Чилі»/кока-кола"
4,"БУРГЕРИ","ЧІКЕН-БУРГЕР З ХРУСТКОЮ КОТЛЕТОЮ","300г","185","","хрустка куряча котлета в паніровці, соус «Айолі-Шрірача», сир чедер, айсберг, томат, солоний огірок, цибуля синя"
5,"БУРГЕРИ","МЕНЮ БУРГЕР З ПОДВІЙНОЮ КОТЛЕТОЮ","330/60/30г","265","","подвійна котлета свино-яловича, сир чеддер, огірок солоний, цибуля синя, айсберг, томат, соус BBQ/картопля фрі, кетчуп, кока-кола"
6,"БУРГЕРИ","БУРГЕР З ПОДВІЙНОЮ КОТЛЕТОЮ","330г","215","","подвійна котлета свино-яловича, соус BBQ, сир чеддер, айсберг, томат, огірок солоний, цибуля синя"
7,"БУРГЕРИ","МЕНЮ БУРГЕР З СОКОВИТОЮ КОТЛЕТОЮ ТА ЧЕДДЕРОМ","260/60/30г","210","","котлета свино-яловича, соус BBQ пікантний, сир чеддер, айсберг, томат, огірок солоний, цибуля синя/картопля фрі, кетчуп, кока-кола"
8,"БУРГЕРИ","БУРГЕР З СОКОВИТОЮ КОТЛЕТОЮ ТА ЧЕДДЕРОМ","260г","175","","котлета свино-яловича, соус BBQ пікантний, сир чеддер, айсберг, томат, огірок солоний, цибуля синя"
9,"БУРГЕРИ","МЕНЮ БУРГЕР З КУРКОЮ НА ГРИЛІ ТА ДОР БЛЮ","255/60/30г","230","","куряче філе на грилі, соус «Цезар», бекон, сир дор блю, айсберг, томат, огірок солоний, цибуля синя/картопля фрі, соус часниковий, кока-кола"
10,"БУРГЕРИ","БУРГЕР З КУРКОЮ НА ГРИЛІ ТА ДОР БЛЮ","255г","180","","куряче філе на грилі, соус «Цезар», бекон, сир дор блю, айсберг, томат, огірок солоний, цибуля синя"
11,"ДОНЕРИ","ДОНЕР З СИРОМ ТА ГРИБАМИ","200г","175","","лаваш, соус “Часниковий”, сир Дор Блю, печериці, сир Моцарела, томати, рукола"
12,"ДОНЕРИ","ДОНЕР З ХРУСТКОЮ КРЕВЕТКОЮ","220г","185","","лаваш, соус “Айолі-Шрірача”, креветки панко, салат, огірок свіжий, томат"
13,"ДОНЕРИ","ДОНЕР З КУРКОЮ ТА ФЕТОЮ","225г","170","","лаваш, куряче стегно, бекон, томат, лист салату, сир Фета, картопля фрі, соус BBQ, соус часниковий – при відключенні світла подаємо без картоплі фрі з подвійним беконом"
14,"ДОНЕРИ","ДОНЕР З КУРКОЮ ТА ЧЕДДЕРОМ","225г","170","","лаваш, куряче стегно, бекон, томат, лист салату, сир Чедер, картопля фрі, соус BBQ, соус часниковий – при відключенні світла подаємо без картоплі фрі з подвійним беконом"
15,"ДОНЕРИ","ДОНЕР МЕКСИКАНСЬКИЙ","280г","185","","лаваш, рвана свинина, кукурудза, сир моцарела, цибуля ріпчата, перець болгарський, картопля фрі, соус BBQ – при відключенні світла подаємо без картоплі фрі з подвійною моцарелою"
